Verkaeufer;Umsatzgruppe;Gesamt Umsatz;Umsatz Januar 2013;Umsatz Februar 2013;Umsatz M?z 2013;Umsatz April 2013;Umsatz Mai 2013;Umsatz Juni 2013;Umsatz Juli 2013;Umsatz August 2013;Umsatz September 2013;Umsatz Oktober 2013;Umsatz November 2013;Umsatz Dezember 2013;Umsatz Januar 2014;Umsatz Februar 2014;Umsatz M?z 2014;Umsatz April 2014;Umsatz Mai 2014;Umsatz Juni 2014;Umsatz Juli 2014;Umsatz August 2014;Umsatz September 2014;Umsatz Oktober 2014;Umsatz November 2014;Umsatz Dezember 2014;Umsatz Januar 2015;Umsatz Februar 2015;Umsatz M?z 2015;Umsatz April 2015;Umsatz Mai 2015;Umsatz Juni 2015;Umsatz Juli 2015;Umsatz August 2015;Umsatz September 2015;Umsatz Oktober 2015;Umsatz November 2015;Umsatz Dezember 2015
1;181;999,3313571;7,166073099;3,377118673;53,23072307;7,470041936;29,42410999;11,47028152;2,312814207;14,97158275;66,83321424;0;64,26029267;5,893838653;35,40084009;49,69838389;12,51673041;25,66803054;5,691202174;5,104993617;9,603562812;14,93391147;43,43253286;47,18628702;5,507867299;42,8692627;33,99354603;15,24716518;60,52465833;71,73324134;4,267177493;0,108529427;35,7385332;58,69415638;53,64081599;70,05919073;20,76015922;10,54048808
2;;1014,152008;66,38178214;1,768154375;1,206384185;62,24149954;45,81294575;15,98004242;29,26009333;54,11175168;10,52915682;30,45891324;7,43681405;35,38556187;87,48091985;14,99227216;31,23623102;21,36912306;0,52512197;26,38521314;1,276046143;39,79336486;22,44997769;17,95732918;57,75332527;23,35173005;67,11038968;14,91840628;6,282504049;21,12915148;15,7675699;48,13398232;9,280470876;13,61916631;4,920358854;60,55331562;3,448489065;43,84444966
2;101;3975,437801;1550,186686;22,64710101;40,70889237;29,41276839;17,31943418;75,21480162;10,4548545;2,462050229;0,152095386;5,74271877;46,07958528;4,73095589;40,16740456;5,286647485;0,788401905;0;48,10783367;8,845520478;13,98122181;9,120689986;16,71604078;15,35328642;37,4630591;1742,486076;1,397735567;11,09099109;3,21070162;47,40306505;2,258578994;29,46681843;36,95732236;69,58812603;8,713701009;3,670399821;1,873978365;16,37825797
2;102;9882,990481;5860,019798;97,03775726;295,3359563;184,0858634;51,13522321;5,70602504;12,54570077;342,1772894;70,39037497;8,957602659;31,35313784;362,0989206;110,6270703;150,9595082;11,71330282;725,6361621;53,12297981;2,262907096;23,17078523;25,09157071;92,77860686;84,11846576;567,2113391;46,60240614;27,29637639;199,1525175;12,04501922;122,1919354;10,33697259;154,0388581;37,61748964;20,62449682;2,677193524;36,76375949;22,1120586;23,99505032
2;103;15507,27633;7569,007565;21,55969158;701,4494824;1066,196292;52,86935215;18,13601845;291,2289697;933,0349449;4,142565185;65,40908003;10,96638997;9,605546387;1,766654027;391,5247936;1058,005059;1342,725368;821,623004;765,5567139;8,289770284;21,05268801;9,191354801;78,93791273;3,639279073;19,61222107;8,776857544;7,011998459;2,864557035;47,9659271;34,1872751;21,69591481;16,02696009;32,07841348;5,016800841;3,007239053;0,693039175;62,42063432
2;111;6643,176915;3107,780105;0,394234944;13,21834852;101,6096094;76,73296872;24,23406644;55,86011075;77,57278835;164,3482446;490,7390027;257,8579639;16,80088066;52,23326918;76,92751161;150,7683707;184,9870481;49,52067477;7,102977483;232,9807396;235,3744999;6,240656267;16,29178814;214,1841029;112,6732312;518,6614792;0,101770291;107,2993833;111,8815449;3,817616234;74,54200607;7,340781169;23,95038472;29,96084521;21,33622012;13,76487272;4,086817433
2;121;39314,13524;14244,95124;602,6343382;1508,465479;429,3281973;442,8348137;1221,203392;1123,140496;177,7767355;889,2240833;573,5281791;298,5531738;427,8686992;995,4076379;1671,077207;1322,756102;1025,18957;203,6060821;1738,683754;975,3222229;786,5468132;456,9005457;1239,08117;3025,148869;965,496538;199,7936056;1306,571946;198,269067;421,379039;519,2903755;195,3507627;14,82766583;36,0209326;15,98437157;43,68540549;17,89692252;0,339802712
2;122;1144,644703;93,9863681;18,29479123;54,14245554;7,824911251;10,5256249;26,28331782;79,64074958;45,37814803;44,55256378;33,44916198;6,064429334;7,172918245;27,85333906;55,92439173;4,748509437;60,12632105;8,219448627;48,96657088;3,814212201;11,70123886;10,57631052;59,87157047;50,75492233;64,10668837;7,353979807;14,92553515;52,35028007;60,90752155;4,456584063;2,619510735;47,53262889;40,73849937;17,30029898;14,99378616;6,56385933;40,9232554
2;123;5975,996938;3040,777107;135,0701905;8,21066763;137,4726457;230,2021369;13,93798637;210,6947153;81,73869726;43,38443137;30,17131671;34,62968536;21,48536882;96,48965285;96,75702084;40,23038659;270,020831;10,80146881;213,5547004;15,36008284;146,3062619;4,971044766;146,4670397;63,0932136;126,5250287;99,29707778;44,16241583;180,8912324;132,3278869;37,86247157;9,749138344;2,076173129;46,18030575;88,23479992;33,24992255;9,882446204;73,73138662
2;131;989,0096166;44,7808808;3,101612651;0;0,285937683;52,08663607;43,65476793;54,08728589;47,18364914;24,12909518;1,424031337;17,58777287;0;3,72960693;26,67420468;19,74322737;44,41499473;60,40383456;53,24554099;62,82354714;37,55917699;36,3252773;0,786386087;40,24726722;11,70275384;58,71798429;26,13663074;59,67358087;18,96764898;59,79279032;5,231535015;5,928660701;8,421916141;41,95548439;12,36334672;4,15225028;1,69030073
2;141;32121,20982;20080,6656;344,3948353;352,358496;55,81469286;955,1952659;447,9010386;1106,426303;587,0996533;207,6485448;464,6331853;224,6302332;642,5777213;173,2457331;625,8082737;105,2532592;752,1622894;523,1377911;188,8066284;208,6082253;320,4021422;175,1419885;517,3684529;254,6297999;817,8213834;142,9944304;11,51982499;111,7571044;659,3439422;826,7593143;16,03767296;85,0793629;38,84002011;1,378837103;33,65088262;10,27527521;51,8416098
2;151;6793,003092;4146,576752;79,43078349;28,44941608;12,45738196;112,3393458;130,1166623;69,94479495;115,6914297;306,5833015;73,55778304;25,75811947;110,6600118;107,7563648;108,8987785;18,06444064;163,7903496;54,93491292;26,02836524;87,01375891;259,1898861;9,083798447;8,026578907;115,1813248;28,81098791;103,2549368;55,47716709;87,48398411;171,5284263;7,386589388;55,28572503;2,083058516;57,58113526;29,90704193;3,61982796;0,320758335;20,72911257
